new entry "Interrupt_LifeSurge"
type "InterruptData"
data "DisplayName" "hc40d9aebg316cg648dgce3eg2c8b3c43a7a0;1"
data "Description" "h8fab0f30g8cacg7550gc42dg30fd85a6e15b;1"
data "Icon" "lifesurge"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and Self(context.Source,context.Observer) and HasInterruptedAttack() and not AnyEntityIsItem();"
data "Properties" "SetRoll(20)"
data "Cost" "ReactionActionPoint:1;Interrupt_LifeSurge_Charge:1;"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "HasActionResource('Interrupt_LifeSurge_Charge', 1, 0, false, false, context.Source) and not HasStatus('SG_Polymorph');"
data "EnableContext" "OnActionResourcesChanged"

